lang	clemma	op	synset	verdict	reason	n_occurrences
ces	Agency	=	08057206-n	BAD	Used as proper name/brand, not generic business	1
ces	Bondy	=	09590377-n	BAD	Different character, not James Bond	1
ces	Captain	=	09892831-n	BAD	Merchant captain, not a naval officer	2
ces	Captain	=	10298912-n	GOOD	Fits merchant ship captain sense	15
ces	Consulado	=	03093427-n	GOOD	Foreign sign text matches consulate building	1
ces	Devil	=	09542339-n	BAD	"Part of place name ""Devil Bay"""	1
ces	Devil	=	09543353-n	BAD	"Part of place name ""Devil Bay"""	1
ces	I	=	77000015-n	GOOD	English pronoun matches directly	2
ces	Jensen	=	11082535-n	BAD	Character name, not the Danish writer	1
ces	Reporters	=	10521662-n	GOOD	Matches profession sense	1
ces	Shark	=	01482330-n	BAD	Person's nickname, not the fish	1
ces	Sinhálcův	=	03118050-a	BAD	Possessive form, not generic ethnic adjective	1
ces	Sinhálcův	=	09732047-n	BAD	POS mismatch, adjective vs noun	1
ces	as	=	00022131-r	GOOD	"English ""as"" matches degree adverb"	2
ces	ať	=	00118363-r	BAD	Purpose adverb, not permissive particle	1
ces	ať	=	00771490-v	GOOD	"Matches causative ""let"""	1
ces	ať	=	00802318-v	GOOD	"Matches permissive ""let"""	1
ces	big	=	00225805-r	BAD	Adverb tag but used adjectivally	1
ces	big	=	01276872-a	GOOD	"Fits ""significant"" in big business"	1
ces	big	=	01382086-a	GOOD	Fits literal large-size sense	1
ces	big business	=	07967129-n	BAD	Used loosely, not institutional big-business sense	1
ces	blok	=	00614224-n	BAD	Physical notepad, not abstract writing activity	1
ces	brodit	=	01913849-v	GOOD	"Matches ""to ford/wade"""	1
ces	by	=	02604760-v	BAD	"Conditional particle, not lexical verb ""be"""	1
ces	damned	=	00669942-a	GOOD	Matches intensifier expletive	3
ces	devadesát	=	02195145-a	GOOD	Numeral adjective usage matches	1
ces	devadesát	=	13750297-n	GOOD	Numeral noun usage matches	1
ces	distances	=	05084201-n	UNSURE	Annotator undecided between two senses	1
ces	distances	=	05129565-n	UNSURE	Annotator undecided between two senses	1
ces	dvacet	=	13748128-n	GOOD	Numeral usage matches	1
ces	fest	=	01059711-a	GOOD	"Matches ""firmly fixed"" sense"	1
ces	fifty-fifty	=	00891170-a	GOOD	Direct match	1
ces	friend	=	10112591-n	GOOD	Direct match	2
ces	furlong	=	13651072-n	GOOD	Direct unit match	2
ces	gallon	=	13619764-n	UNSURE	US vs Imperial gallon unclear in context	1
ces	gallon	=	13622209-n	UNSURE	US vs Imperial gallon unclear in context	1
ces	glad	=	01146920-a	GOOD	"Matches ""feeling happy"""	1
ces	glad	=	01361414-a	GOOD	"Matches ""showing joy"""	1
ces	good	=	01129977-a	BAD	"good friend isn't ""morally admirable"" sense"	1
ces	good	=	02036934-a	GOOD	"Fits idiom ""good as his word"""	1
ces	grádl	=	03309808-n	BAD	Too general; specific ticking fabric intended	1
ces	grádl	=	04432662-n	GOOD	Exact match, ticking fabric	1
ces	halt	=	01860795-v	GOOD	"Matches ""stop"" command"	1
ces	he	=	77000046-n	GOOD	English pronoun matches	1
ces	health	=	13923779-n	GOOD	Toast referencing health concept	1
ces	his	=	77000050-a	GOOD	English possessive matches	1
ces	hýbat	=	00014549-v	GOOD	"Matches ""move/be active"""	1
ces	hýbat	=	00279835-n	BAD	Verb usage mapped to noun synset	1
ces	i	=	00047534-r	GOOD	"Matches ""also/in addition"""	3
ces	is	=	02604760-v	GOOD	"English ""is"" matches ""be"""	1
ces	ja	=	07175241-n	BAD	"Interjection mismatched to abstract ""agreeing"" noun"	1
ces	ja	=	07203900-n	GOOD	"Matches ""an affirmative"""	2
ces	ja	=	80001230-x	GOOD	Matches positive-response word	2
ces	ja	=	80001930-x	GOOD	Dominant sense, well attested	24
ces	jedenáct	=	02187379-a	GOOD	Numeral usage matches	1
ces	její	=	77000043-a	GOOD	"Matches ""her"" possessive"	1
ces	jmenovat	=	01028748-v	GOOD	"jmenovat se matches ""be named"""	2
ces	jmout	=	00345761-v	GOOD	"jal se matches ""begin"""	1
ces	jmout	=	00523095-v	BAD	"Wrong sense, not ""take a measurement"""	1
ces	kampong	=	08673039-n	GOOD	Direct match	1
ces	know	=	00594337-v	BAD	I know here is awareness, not acquaintance	1
ces	know	=	00595630-v	GOOD	"Matches ""be aware of truth"""	1
ces	krupař	=	10577284-n	GOOD	Traditional shopkeeper fits seller/vendor	2
ces	lad	=	10285938-n	GOOD	Matches address term for young male	1
ces	lie	=	06756831-n	GOOD	Direct match	1
ces	long	=	01433493-a	GOOD	"Matches spatial sense in ""Long Distances"""	1
ces	lot	=	13774404-n	GOOD	"Matches quantifier ""a lot"""	1
ces	lots	=	13777509-n	GOOD	"Matches quantifier ""lots"""	2
ces	meet	=	02596113-v	GOOD	"Matches ""get to know"""	1
ces	mine	=	77000107-n	GOOD	English possessive pronoun matches	2
ces	money	=	13384877-n	GOOD	Matches currency/money sense	2
ces	mít	=	00631737-v	GOOD	"Modal ""supposedly"" matches supposition sense"	1
ces	newspapers	=	08062970-n	GOOD	Matches newspaper industry sense	1
ces	náprsní	=	05553288-n	BAD	Adjective mapped to noun body-part synset	1
ces	o	=	00007015-r	BAD	"Conflates topic-""about"" with quantity-""approximately"""	1
ces	osmdesát	=	13750164-n	GOOD	Numeral usage matches	1
ces	oční	=	05311054-n	BAD	Adjective mapped to noun body-part synset	1
ces	pingvín	=	02055803-n	GOOD	Direct simile match	1
ces	please	=	80001998-x	GOOD	Direct match	1
ces	remember	=	00611802-v	GOOD	Direct match	1
ces	salamanders	=	01629276-n	GOOD	Direct animal reference	1
ces	secret	=	06672953-n	GOOD	Direct match	2
ces	sedm	=	02186970-a	GOOD	Numeral usage matches	1
ces	see	=	00591115-v	GOOD	"Discourse tag matches ""understand"""	2
ces	see	=	00598954-v	BAD	"Mismatched, not ""find out accidentally"""	1
ces	see	=	80001930-x	BAD	Discourse tag isn't agreement marker	1
ces	sharks	=	01482330-n	GOOD	Literal animal reference	1
ces	shells	=	01316813-v	BAD	Noun usage mapped to verb synset	1
ces	ship-owner	=	10590239-n	GOOD	Direct match	1
ces	sir	=	06341340-n	BAD	"Vocative ""sir"" differs from title ""Mister"""	1
ces	sir	=	10601451-n	GOOD	Exact lemma match	3
ces	sir	=	80002253-n	GOOD	Fits social-superior address context	1
ces	sorry	=	01150475-a	GOOD	Matches regret sense	1
