lang	sid	cid	verdict	reason
cmn	100003	12	BAD	一场约会=event classifier, not play scene, per own comment
cmn	100119	6	UNSURE	莱佛士酒店=hotel name, refers to person or place unclear
cmn	10012	1	BAD	一天早=numeral one, not once/as-soon-as
cmn	100239	5	GOOD	量身订做=tailor-made matches per comment
cmn	100285	2	UNSURE	莱佛士酒店=hotel name, refers to person or place unclear
cmn	100598	32	GOOD	印度飞饼=North Indian pancake matches
cmn	100638	43	GOOD	另一个=different sense, tokenization issue
cmn	100717	17	GOOD	另一个=different sense, tokenization issue
cmn	100726	0	GOOD	戏剧盒 company name reflects art of drama
cmn	100727	8	GOOD	戏剧盒 company name reflects art of drama
cmn	100749	13	GOOD	御宝粤菜=restaurant org name matches
cmn	100789	16	GOOD	一盘盘=plate/dish matches
cmn	100845	35	GOOD	另一个=different sense, tokenization issue
cmn	101204	14	BAD	可不多见=rather, adverbial, not ability sense
cmn	10127	5	GOOD	早早=before usual time matches
cmn	101277	0	GOOD	御宝集团=org name matches
cmn	101277	9	GOOD	御宝粤菜=restaurant org name matches
cmn	101280	18	GOOD	御宝粤菜=restaurant org name matches
cmn	101282	4	GOOD	御宝粤菜=restaurant org name matches
cmn	101303	28	GOOD	印度飞饼=North Indian pancake matches
cmn	101321	32	GOOD	适于初学者=suit/fit matches
cmn	101385	11	GOOD	芽笼区=area/district matches
cmn	101404	6	GOOD	适于击球=suit/fit matches
cmn	101446	26	GOOD	"matches ""different from first"""
cmn	101748	4	GOOD	named-entity metonym for Raffles, standard
cmn	101757	104	UNSURE	ambiguous expert vs virtuoso/performer sense
cmn	101804	21	GOOD	food critic fits specialist/expert sense
cmn	101854	26	GOOD	"matches ""different from first"""
cmn	101957	42	GOOD	"matches ""different from first"""
cmn	101988	4	GOOD	suitable for hiking fits fit/accommodate
cmn	102123	1	BAD	顶层 used as noun (top floor), not adjective
cmn	10213	23	GOOD	唯一的目的=sole/exclusive matches
cmn	102203	4	GOOD	named-entity metonym for Raffles, standard
cmn	102211	4	GOOD	named-entity metonym for Raffles, standard
cmn	102214	1	GOOD	named-entity metonym for Raffles, standard
cmn	102215	1	GOOD	named-entity metonym for Raffles, standard
cmn	102320	10	GOOD	族裔 matches ethnic group sense
cmn	102356	19	GOOD	串签 skewer matches definition
cmn	102470	24	GOOD	可以 matches able/capacity sense
cmn	102487	24	BAD	refers to Shakespeare character, not generic ardent lover
cmn	102498	22	GOOD	无法抗拒 matches unable/lacking ability
cmn	102544	12	GOOD	气场 matches atmosphere sense
cmn	102549	4	GOOD	named-entity metonym for Raffles, standard
cmn	102551	8	GOOD	named-entity metonym for Raffles, standard
cmn	102555	14	GOOD	named-entity metonym for Raffles, standard
cmn	102615	8	GOOD	钢索 steel cable, MWE steel sense fits
cmn	102615	9	GOOD	钢索 steel cable, MWE cable sense fits
cmn	102617	12	GOOD	钢索 steel cable, MWE cable sense fits
cmn	102617	2	GOOD	钢索 steel cable, MWE steel sense fits
cmn	102617	3	GOOD	钢索 steel cable, MWE cable sense fits
cmn	102617	5	GOOD	钢索 steel cable, MWE steel sense fits
cmn	102617	6	GOOD	钢索 steel cable, MWE cable sense fits
cmn	102618	1	GOOD	钢索 steel cable, MWE cable sense fits
cmn	102619	0	GOOD	钢索 steel cable, MWE steel sense fits
cmn	102619	1	GOOD	钢索 steel cable, MWE cable sense fits
cmn	102619	3	GOOD	钢索 steel cable, MWE steel sense fits
cmn	102619	4	GOOD	钢索 steel cable, MWE cable sense fits
cmn	102620	0	GOOD	钢索 steel cable, MWE steel sense fits
cmn	102620	1	GOOD	钢索 steel cable, MWE cable sense fits
cmn	102620	3	GOOD	钢索 steel cable, MWE steel sense fits
cmn	102620	4	GOOD	钢索 steel cable, MWE cable sense fits
cmn	102747	32	GOOD	"matches ""different from first"""
cmn	102777	8	GOOD	可 matches able/capacity modal sense
cmn	102918	16	GOOD	饭馆 matches restaurant sense
cmn	102941	6	GOOD	量身定做 matches tailor-made sense
cmn	102973	11	GOOD	交响乐章 matches symphonic sense
cmn	102997	19	GOOD	华族 etc. matches ethnic group sense
cmn	103030	27	GOOD	"matches ""different from first"""
cmn	103098	15	GOOD	钢索 steel cable, MWE steel sense fits
cmn	103098	16	GOOD	钢索 steel cable, MWE cable sense fits
